Array size;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000;3100;3200;3300;3400;3500;3600;3700;3800;3900;4000;4100
bubbleSortI1 - ../arrays/4100-0-4000.txt;11999.90;47316.70;102541.70;179662.50;278204.20;397212.50;539887.50;691012.40;881883.40;1083291.40;1310995.90;1559016.80;1835229.10;2124083.30;2450891.60;2794671.00;3157150.00;3560566.70;3990791.70;4429312.60;4902062.40;5395408.30;5933375.00;6530516.90;7180720.80;7796395.70;8432137.50;9117504.00;9864941.60;10589104.40;11409299.80;12259424.90;13076345.90;13884929.20;14935179.10;15862441.70;16896279.10;17864629.10;18879675.20;19840304.20;20985971.00
bubbleSortI1 - ../arrays/4100-almost-sorted.txt;658.30;1791.60;2650.00;3446.00;4287.50;5137.60;6008.30;6816.50;7733.40;8554.30;9424.80;10316.60;11170.90;12066.80;12941.80;13750.00;14612.60;15462.50;16475.20;17328.90;18362.40;19266.70;20229.20;21070.70;21916.80;22962.60;23841.90;24750.00;25637.40;26483.40;27467.00;28362.50;29329.00;30245.90;31104.20;32029.30;32991.90;33824.90;34737.50;40733.30;43537.60
bubbleSortI1 - ../arrays/4100-reversed.txt;11808.10;45816.60;102170.90;180987.60;282149.90;405450.00;551824.90;718837.40;908550.20;1122575.00;1358520.70;1616071.00;1893683.40;2197937.70;2520008.20;2864329.30;3232975.20;3623804.20;4035875.00;4476620.90;4931554.10;5410491.60;5910783.40;6438124.90;6984491.80;7550441.80;8144162.70;8761937.60;9394912.70;10048408.30;10736066.80;11428741.80;12158179.10;12900254.10;13681795.90;14468271.00;15281325.30;16125608.40;16974958.20;18323658.50;18797775.00
bubbleSortI2 - ../arrays/4100-0-5.txt;408.40;774.90;1166.70;1537.40;1870.90;2245.80;2583.20;2970.70;3379.40;3816.40;4225.00;4625.20;5045.90;5429.10;5829.00;6241.60;6695.80;7137.70;7571.00;7966.60;8446.10;8820.70;9216.90;9674.80;10083.60;10545.70;10962.40;11437.40;11904.20;12304.00;12870.70;13358.50;13837.50;14225.00;14608.30;15095.80;15591.90;16012.40;16470.90;16970.90;17383.50
bubbleSortI2 - ../arrays/4100-0-4000.txt;391.70;750.00;1108.30;1450.10;1800.00;2166.70;2491.70;2837.60;3195.70;3537.40;3875.00;4233.10;4579.30;4916.70;5266.90;5612.50;5950.10;6320.70;6658.10;6995.70;7358.30;7696.20;8033.50;8404.20;8754.10;9066.50;9416.60;9766.60;10116.60;10466.70;10795.80;11133.40;11487.40;11841.60;12254.20;12529.30;12900.00;13220.70;13574.80;13916.70;14266.70
bubbleSortI2 - ../arrays/4100-almost-sorted.txt;353.90;633.40;945.90;1212.50;1471.10;1812.50;2112.20;2383.50;2704.30;2995.80;3308.20;3612.50;3950.00;4278.90;4583.10;4850.00;5237.50;5537.60;5958.30;6279.20;6616.90;6933.40;7333.30;7679.40;7979.10;8366.50;8754.10;9166.50;9508.30;9791.70;10283.30;10550.10;10866.80;11250.00;11545.70;11991.60;12320.80;12691.70;13100.20;13466.50;13824.90
bubbleSortI2 - ../arrays/4100-reversed.txt;383.40;729.30;1066.70;1403.90;1762.50;2104.10;2454.10;2800.10;3145.80;3495.90;3841.70;4179.10;4533.40;4879.10;5229.20;5566.70;5916.80;6262.40;6604.10;6954.20;7300.40;7695.90;7991.80;8341.80;8691.80;9033.30;9379.10;9721.00;10050.20;10416.60;10770.80;11100.00;11445.70;11825.20;12125.00;12495.90;12850.10;13204.40;13524.90;13875.00;14225.00
insertionSort - ../arrays/4100-0-5.txt;3741.60;12300.10;26166.50;42837.50;68575.10;97104.00;126500.10;163541.80;209391.70;252883.40;308600.10;365154.20;423462.60;495333.40;569920.90;639604.00;719133.30;806600.00;898675.00;996962.50;1098366.80;1202679.20;1311712.40;1431641.80;1561950.10;1698795.70;1853566.70;2004500.10;2140608.30;2271671.00;2453875.20;2626012.50;2779937.70;2973220.90;3156604.20;3336887.40;3545729.30;3726820.60;3922641.60;4124325.00;4319441.70
insertionSort - ../arrays/4100-0-4000.txt;4075.20;14162.40;31025.00;51579.20;80004.10;117991.50;162687.40;212166.60;265058.30;330662.50;400233.30;468587.40;548179.20;633054.00;726416.60;833100.00;930441.60;1053208.30;1163179.10;1295004.30;1417179.20;1549170.80;1692266.60;1839258.20;1981291.60;2132712.50;2296600.00;2464508.50;2650979.10;2821970.70;3020549.90;3217912.50;3413862.30;3623620.60;3835524.80;4060912.60;4288450.10;4519166.70;4764720.90;5006346.00;5273350.10
insertionSort - ../arrays/4100-almost-sorted.txt;354.30;687.60;1037.50;1366.60;1658.10;1991.70;2362.50;2691.70;3079.40;3391.80;3741.70;4133.10;4508.30;4883.30;5271.00;5554.10;5941.30;6854.10;6779.10;7095.70;7545.80;7916.60;8300.10;8608.10;8933.40;9333.50;9679.20;10112.40;10574.90;10803.90;11245.70;11545.70;11954.30;12266.80;12566.60;12924.90;13287.70;13641.70;14000.10;14458.40;14858.50
